DOW_SPB,SPBXM,1,0.01
DPZ_SPB,SPBXM,1,0.01
DRE_SPB,SPBXM,1,0.01
DRI_SPB,SPBXM,1,0.01
DRNA_SPB,SPBXM,1,0.01
DRQ_SPB,SPBXM,1,0.01
DT_SPB,SPBXM,1,0.01
DVA_SPB,SPBXM,1,0.01
DVN_SPB,SPBXM,1,0.01
DXC_SPB,SPBXM,1,0.01
DXCM_SPB,SPBXM,1,0.01
DY_SPB,SPBXM,1,0.01
EA_SPB,SPBXM,1,0.01
EAT_SPB,SPBXM,1,0.01
EBAY_SPB,SPBXM,1,0.01
EBS_SPB,SPBXM,1,0.01
ECHO_SPB,SPBXM,1,0.01
ECL_SPB,SPBXM,1,0.01
ECPG_SPB,SPBXM,1,0.01
ED_SPB,SPBXM,1,0.01
EDIT_SPB,SPBXM,1,0.01
EEFT_SPB,SPBXM,1,0.01
EFX_SPB,SPBXM,1,0.01
EGHT_SPB,SPBXM,1,0.01
EGP_SPB,SPBXM,1,0.01
EGRX_SPB,SPBXM,1,0.01
EHTH_SPB,SPBXM,1,0.01
EIX_SPB,SPBXM,1,0.01
EL_SPB,SPBXM,1,0.01
ELAN_SPB,SPBXM,1,0.01
ELS_SPB,SPBXM,1,0.01
EME_SPB,SPBXM,1,0.01
EMN_SPB,SPBXM,1,0.01
EMR_SPB,SPBXM,1,0.01
ENDP_SPB,SPBXM,1,0.01
ENPH_SPB,SPBXM,1,0.01
ENR_SPB,SPBXM,1,0.01
ENS_SPB,SPBXM,1,0.01
ENSG_SPB,SPBXM,1,0.01
ENTA_SPB,SPBXM,1,0.01
ENTG_SPB,SPBXM,1,0.01
ENV_SPB,SPBXM,1,0.01
EOG_SPB,SPBXM,1,0.01
EPAM_SPB,SPBXM,1,0.01
EPAY_SPB,SPBXM,1,0.01
EPC_SPB,SPBXM,1,0.01
EQIX_SPB,SPBXM,1,0.01
EQT_SPB,SPBXM,1,0.01
ERIE_SPB,SPBXM,1,0.01
ES_SPB,SPBXM,1,0.01
ESE_SPB,SPBXM,1,0.01
ESPR_SPB,SPBXM,1,0.01
ESS_SPB,SPBXM,1,0.01
ET_SPB,SPBXM,1,0.01
ETN_SPB,SPBXM,1,0.01
ETR_SPB,SPBXM,1,0.01
ETRN_SPB,SPBXM,1,0.01
ETSY_SPB,SPBXM,1,0.01
EVBG_SPB,SPBXM,1,0.01
EVER_SPB,SPBXM,1,0.01
EVH_SPB,SPBXM,1,0.01
EVR_SPB,SPBXM,1,0.01
EVRG_SPB,SPBXM,1,0.01
EW_SPB,SPBXM,1,0.01
EWBC_SPB,SPBXM,1,0.01
EXAS_SPB,SPBXM,1,0.01
EXC_SPB,SPBXM,1,0.01
EXEL_SPB,SPBXM,1,0.01
EXLS_SPB,SPBXM,1,0.01
EXP_SPB,SPBXM,1,0.01
EXPD_SPB,SPBXM,1,0.01
EXPE_SPB,SPBXM,1,0.01
EXPO_SPB,SPBXM,1,0.01
